"id","created","updated","title","description","priority","investigation_type","event_datetime","completion_due_date","steps_completed","function_location","equipment_description","object_type","catalog_profile","catalog_profiles","object_part_description","damage_code","supervisor_id","event_type","status","total_effective_duration","total_tonnes_lost","date_closed","total_event_duration","cause_code","is_archived","archive_user_id","archive_datetime"
390,2018-08-20 16:15:00.000 +0800,2018-09-18 18:05:47.000 +0800,HPGR Cheek Plate Deflection; Historical BMS Id: RCA-0000053,The HPGR encountered 10 high current alarms and trips between 5:28am and 6:41am.  Excess pressure on the rolls has caused the cheek plate support beam to deflect opening the gap between the rolls and cheek plate. The cheek plate adjustment mechanism has been damaged and will require repairs.,Medium,2,2018-08-20 05:28:00.000 +0800,2018-09-18 18:05:47.000 +0800,5,CLB-PP-CRSH-MOD309-CR309 -ASBLY,Cheek Plates CR309,Liner,PMGENERAL,'{}',,,14081,1,3,0.0,0.0,2018-09-18 18:05:47.000 +0800,,,,,
391,2018-08-17 08:33:00.000 +0800,2018-12-10 10:40:13.000 +0800,HPGR Safeset Coupling Failure; Historical BMS Id: RCA-0000051,At approx. 8:43am the HPGR tripped on high current to the drive motors. Both drive motors were found to be healthy and further investigation identified that both safe-set couplings had failed on both drives simultaneously.,Medium,2,2018-08-16 08:43:00.000 +0800,2018-12-10 10:40:13.000 +0800,5,CLB-PP-CRSH-MOD309-CR309 -HYDSY,Drive Variable Speed CR309,Variable Speed Drive,PM-VSD,'{}',,,14081,1,3,0.0,0.0,2018-12-10 10:40:13.000 +0800,,,,,
392,2018-08-16 10:12:00.000 +0800,2018-08-16 17:46:03.000 +0800,PU288 Drive Coupling Failure; Historical BMS Id: RCA-0000050,At approx. 7:41am process personnel identified that there was low water flow to Mod4. Investigation found that there was no water flow from PU288 even though the motor was running. Maintenance personnel attended and found the drive coupling between the motor and pump had failed the internal splines on the pump side hub,Medium,1,2018-08-15 07:41:00.000 +0800,2018-08-16 17:46:03.000 +0800,5,CLB-PP-DSND-MOD234-PU288 -DRIV1,Drive Variable Speed PU288,Variable Speed Drive,PM-VSD,'{}',,,14081,1,3,0.0,0.0,2018-08-16 17:46:03.000 +0800,,,,,
393,2018-08-20 16:36:00.000 +0800,2018-08-20 16:49:21.000 +0800,SN002 Velocity Chain Beam; Historical BMS Id: RCA-0000054,Oversize material has impacted the beam supporting the first row of velocity chains. The impact has sheared off the two retaining bolts on the south side causing the beam to move and damage the surrounding grid mesh,Medium,1,2018-08-20 06:00:00.000 +0800,2018-08-20 16:49:21.000 +0800,5,CLB-PP-RMIN-HOP005-SN002 -ASBLY,Screen Body Assembly SN002,Screen,PM-STRC,'{}',,,14081,1,3,0.0,0.0,2018-08-20 16:49:21.000 +0800,,,,,
394,2018-12-10 10:43:00.000 +0800,2018-12-10 11:10:14.000 +0800,Bowl Liner Failure; Historical BMS Id: RCA-0000108,FLS Maintenance identified excessive noise coming from CR306 at the start of day shift. The crusher was shut down and checked but the cause could not be determined.  It was found that one of the bowl/hopper retainers had been sheared off indicating the bowl and hopper had been forced from their seat.  The belt feeder was retracted and it was discovered that the bowl liner had separated and became lodged between the head and main frame The liner kit has been in service for 802hrs of an expected 2000hr service life. The gap setting was 28mm at the time of failure  ,Medium,2,2018-11-24 07:00:00.000 +0800,2018-12-10 11:10:14.000 +0800,5,CLB-PP-CRSH-MOD306-CR306 -ASBLY,Assembly Bowl CR306,Assembly,PMGENERAL,'{}',,,14081,1,3,0.0,0.0,2018-12-10 11:10:14.000 +0800,,,,,
395,2019-03-30 15:58:00.000 +0800,2019-03-31 17:30:19.000 +0800,CR302 Upper Thrust Bush; Historical BMS Id: RCA-0000163,Heavy deposits of bronze material found in the trash screen of CR302 following overhaul ,Medium,2,2019-03-27 12:00:00.000 +0800,2019-03-31 17:30:19.000 +0800,5,CLB-PP-CRSH-MOD302-CR302 -ASBLY,Assembly Head CR302,Assembly,PMGENERAL,'{}',,,14081,1,3,0.0,0.0,2019-03-31 17:30:19.000 +0800,,,,,
10547,2022-07-18 07:06:36.000 +0800,2022-07-18 07:58:00.000 +0800,RC901 Bogie Bearing Failure; Historical Sharepoint Solomon Id 582,,Medium,1,2022-07-17 16:00:00.000 +0800,,5,SOL-SY-RCLM-RCL901-RC901 -ASBLY,Structure Reclaimer RC901,Structure,PM-STRC,'{}',,,1216,1,1,5.1,63333.0,2022-08-01 08:00:00.000 +0800,,,,,
10505,2022-08-25 12:51:15.351 +0800,2022-08-30 10:16:56.916 +0800,TLO SD501 Splitter Chute Actuator Failure,"SD501 splitter chute actuator was found to be able to only be moved west.
Mechanical and electrical tests suggest the motor was functioning  as intended",Medium,2,2022-07-22 02:47:00.000 +0800,2022-09-22 00:00:00.000 +0800,3,CLB-PP-TRLO-CNV001-CV112 -CH002,Chute Product Splitter Train Load CH501,Actuator,PM-CHTS,"'{""MP-ACTUR"",""PM-STRC"",""PM-AGIT""}'",Actuator,Broken,8000,1,1,6.0,98424.8,,6.0,,,,
10550,2022-07-29 22:21:19.000 +0800,2022-07-29 22:21:19.000 +0800,RC901 Hose Reeler VSD Brake Resistor Failure; Historical Sharepoint Solomon Id 585,,Medium,1,2022-07-16 16:00:00.000 +0800,,5,SOL-SY-RCLM-RCL901-RC901 -ASBLY,Structure Reclaimer RC901,Structure,PM-STRC,'{}',,,13217,1,1,2.06,25625.0,2022-08-01 08:00:00.000 +0800,,,,,
10551,2022-07-31 03:46:38.000 +0800,2022-07-31 04:43:33.000 +0800,PLC P3032 - Loss of Profinet to remote racks; Historical Sharepoint Solomon Id 586,,Medium,2,2022-07-30 16:00:00.000 +0800,,5,SOL-FT,Unknown,Unknown,PMGENERAL,'{}',,,7855,1,1,2.2,10850.0,2022-08-01 08:00:00.000 +0800,,,,,
10553,2022-08-15 03:41:47.000 +0800,2022-08-15 03:41:47.000 +0800,SK801- Hose Reeler Sprocket Chain Failure; Historical Sharepoint Solomon Id 588,,Medium,1,2022-08-13 16:00:00.000 +0800,,5,SOL-SY-STKG-STK801-SK801 -ASBLY,Structure Stacker SK801,Stacker,PM-STRC,'{}',,,1216,1,1,3.81,29718.0,2022-08-01 08:00:00.000 +0800,,,,,
995,2021-12-16 22:13:50.000 +0800,2021-12-17 00:43:16.000 +0800,FR503 Cloth Tear; Historical Sharepoint Solomon Id 522,,Medium,3,2021-12-15 16:00:00.000 +0800,,5,SOL-KV-DSND-DESND2-FR502 -ASBLY,Cloth Filter FR502,Filter,PM-FILT,'{}',,,4455,1,1,3.2,24855.0,2022-08-01 08:00:00.000 +0800,,,,,
1076,2021-06-24 05:39:49.000 +0800,2021-06-24 05:39:49.000 +0800,Reliability Meeting Action Tracker ; Historical Sharepoint Eliwana Id 32,,Medium,1,2021-06-23 16:00:00.000 +0800,,5,ELW-P1,Unknown,Unknown,PMGENERAL,'{}',,,4314,1,1,0.0,0.0,2022-08-01 08:00:00.000 +0800,,,,,
1099,2022-03-21 22:46:25.000 +0800,2022-03-21 22:46:25.000 +0800,SN321 Exciter Bolt Failure ; Historical Sharepoint Eliwana Id 58,,Medium,2,2022-03-21 16:00:00.000 +0800,,5,ELW-P1-DSCR-MOD002-SN321 -DRV01,Exciter Drive End Screen SN321,Exciter,PM-EXTR,'{}',,,4314,1,1,0.0,0.0,2022-08-01 08:00:00.000 +0800,,,,,
10536,2022-07-04 23:38:15.000 +0800,2022-07-04 23:38:15.000 +0800,SN211 Exciter Bearing Failure ; Historical Sharepoint Eliwana Id 62,,Medium,2,2022-07-01 16:00:00.000 +0800,,5,ELW-P1-SSCR-MOD001-SN211 -DRV01,Exciter Drive End Screen SN211,Exciter,PM-MTRS,'{}',,,4314,1,1,6.1,27414.0,2022-08-01 08:00:00.000 +0800,,,,,
10554,2022-08-18 02:14:38.000 +0800,2022-10-13 10:23:39.264 +0800,CRC361 Drive Motor NDE Bearing Failure; Sharepoint  Id 589,Operator observed white smoke coming at Non Drive End of CR361 Drive Motor Bearing. CR361 was stopped and taken out of operation. CR361 Drive Motor and Jackshaft have been replaced.,Medium,1,2022-07-01 16:00:00.000 +0800,2022-11-10 00:00:00.000 +0800,5,SOL-FT-CRSH-CRUSH1-CRC361-DRIV1,Motor Electric Drive CRC361,Electrical Motor,PM-MTRS,'{}',Bearing,Failed,13381,1,1,0.0,0.0,2022-08-01 08:00:00.000 +0800,,,,,
300,2021-08-27 12:22:00.000 +0800,2022-06-02 08:48:54.000 +0800,D65 MK1 & XLF - HECL (rock oil) pump failures; Historical BMS Id: RCA-0000485,HECL (rock oil) pumps on D65 's are prematurely failing across D65 XLF and MK1 fleet. ,Medium,2,2021-08-03 08:12:00.000 +0800,2022-06-02 08:48:54.000 +0800,5,SOL-MP-DRLL-DR3109-LUBSYS-DHDPP,HECL Oil Pump,Pump,MP-OLPMP,'{}',,,14074,1,3,0.0,0.0,2022-06-02 08:48:54.000 +0800,,,,,
10529,2022-07-14 16:16:00.000 +0800,2022-08-11 13:31:00.000 +0800,CV935 gearbox shaft failure ; Historical Sharepoint Port Id 54,NULL,Medium,2,2022-07-13 00:00:00.000 +0800,,5,APT-OL-SHIP-SL703 -CV935 -DRV01,Gearbox Drive 1 Brevini 16.2:1,Gearbox,PM-GEAR,'{}',,,2279,1,1,8.4,0.0,2022-09-01 08:00:00.000 +0800,,,,,
10528,2022-07-14 16:17:00.000 +0800,2022-08-11 13:31:00.000 +0800,CV922 VSD Fault ; Historical Sharepoint Port Id 56,NULL,Medium,2,2022-07-20 00:00:00.000 +0800,,5,APT-OL-CNVY-CONVEY-CV922 -EICON,VSD VS4710 Conveyor Drive #1,Variable Speed Drive,PM-VSD,'{}',,,12454,1,1,2.7,0.0,2022-09-01 08:00:00.000 +0800,,,,,
10522,2022-08-09 16:36:00.000 +0800,2022-08-09 16:36:00.000 +0800,CV926 belt damage; Historical Sharepoint Port Id 62,NULL,Medium,2,2022-08-01 00:00:00.000 +0800,,5,APT-OL-SHIP-SL702 -CV926 -ASBLY,Belt Conveyor Carry 2000x25.5mm,Conveyor Belting,PM-CVBT,'{}',,,12454,1,1,1.9,0.0,2022-09-01 08:00:00.000 +0800,,,,,
10556,2022-08-23 07:59:06.000 +0800,2022-08-23 07:59:06.000 +0800,SK801 ECR01 Pilot Core 1 Failure; Historical Sharepoint Solomon Id 591,,Medium,1,2022-08-14 16:00:00.000 +0800,,5,SOL-SY-STKG-STK801-SK801 -ASBLY,Structure Stacker SK801,Stacker,PM-STRC,'{}',,,13217,1,1,2.05,15767.0,2022-08-01 08:00:00.000 +0800,,,,,
10576,2022-09-06 14:18:40.313 +0800,2022-09-08 11:29:18.427 +0800,Long description test,"This is a lot of text to be putting in one box in order to make sure that the character limit is appropriate. This is a lot of text to be putting in one box in order to make sure that the character limit is appropriate.
This is a lot of text to be putting in one box in order to make sure that the character limit is appropriate. This is a lot of text to be putting in one box in order to make sure that the character limit is appropriate.
This is a lot of text to be putting in one box in order to make sure that the character limit is appropriate. This is a lot of text to be putting in one box in order to make sure that the character limit is appropriate.
This is a lot of text to be putting in one box in order to make sure that the character limit is appropriate. ",High,2,2022-01-01 12:00:00.000 +0800,2022-09-05 08:00:00.000 +0800,6,APT-IL-CNVY-CONVEY-CV0302-DSTSU,Dust Supression Spray CV302,Dust Suppression,PM-CVBT,'{}',Bolt,Blockage,2,1,1,0.0,0.0,,0.0,Alignment (PM),true,2,2022-09-06 16:50:51.297 +0800
10533,2022-06-09 07:29:00.000 +0800,2022-06-09 07:29:00.000 +0800,TUL603 return overtravel; Historical Sharepoint Port Id 51,"Root Cause:
•	One of the relays installed was the wrong type  

What We Found:
•	One of the relays was the wrong type 
o	Prevented bypass button 
o	Pilz relay could not reset 
o	It is run to end of life and was previous changed out after a breakdown 
o	This led to the extended delay before it was recognised that the wrong relay was installed 
•	The overtravel fault alarm is on the main SCADA screen 
•	Overtravel limit circuit design is an electrical design from OEM 

Recommendations: 
•	Continue investigating if it is a genuine overtravel by involving Metsos and supervisors. This is tracked on 8:10 board
•	Verify that the protective device audit (PDA) checks overtravel recovery
o	Highlight the importance with relevant teams 
•	Continue updating drawings to ensure latest revision
•	Investigate the pressure in the grippers because they should not be decreasing
",Medium,1,2022-04-04 00:00:00.000 +0800,,5,APT-IL-TRUL-TUL002-TP603 -ASBLY,Tippler Through Rail TP603,Rail,PMGENERAL,'{}',,,8155,1,3,6.0,0.0,2022-09-01 08:00:00.000 +0800,,,,,
10531,2022-07-14 16:15:00.000 +0800,2022-08-10 13:59:00.000 +0800,CV908 Belt Damage / Scraper ; Historical Sharepoint Port Id 52,"This RCA investigation has determined that the belt damage of CV908 due to the D3 cleaner incorrect adjustment. The adjustment was conducted correctly as per the tension specification given by Hosch for the D3 cleaner, however Hosch have since advised further procedures including buffing blades and reducing the amount of tension used for worn blades is required. No documentation of these additional procedures/considerations had been supplied by Hosch to FMG at the time the incorrect adjustment occurred. Through engagement with Hosch, an investigation into the lack of formalised written OEM procedure on adjusting the D3 scrapers and lack of understanding around the Iris system was conducted. Resulting in, actions to ensure full procedures for adjusting the cleaners are supplied by Hosch to FMG, there is an increased transparency between Hosch and FMG regarding the D3 scraper trial Hosch to investigate accelerated belt wear on a belt with Hosch equipment. ",Medium,2,2022-06-29 00:00:00.000 +0800,,5,APT-IL-CNVY-CONVEY-CV908 -CLEAN,Pulley Face Scrapers CV908,Belt Scraper,PM-SCPR,'{}',,,2279,1,3,2.0,0.0,2022-09-01 08:00:00.000 +0800,,,,,
10506,2022-08-25 15:40:27.973 +0800,2022-10-27 10:44:34.378 +0800,CV111 EM02 VSD Failure,"CV102 EM02 VSD was found with blown red and blue phase line fuses
Fuses were replaced and then de-isolated and immediately faulted once main contactor closed with the red and blue phase fuses blow
After replacing the VSD, the motor reset successfully",Medium,3,2022-07-28 22:06:00.000 +0800,2022-09-22 00:00:00.000 +0800,3,CLB-PP-CNVY-CNV001-CV111 -DRIV2,Drive Variable Speed 4 CV111,Variable Speed Drive,PM-VSD,'{}',VSD,Failed,5867,1,3,2.7,17033.1,2022-10-27 08:00:00.000 +0800,8.0,,,,
523,2018-03-28 00:44:24.000 +0800,2018-04-10 23:18:58.000 +0800,RC901 Instrument Damage Following Lightning Strike ; Historical Sharepoint Solomon Id 14,,Medium,2,2018-02-17 16:00:00.000 +0800,,5,SOL-SY-RCLM-RCL901-LFD01 -EICON,Devices Field LFD01,Electrical System,PM-ELESY,'{}',,,5086,1,3,0.0,0.0,2022-08-01 08:00:00.000 +0800,,,,,
10582,2022-09-14 08:12:34.629 +0800,2022-09-16 07:10:22.199 +0800,Test ,Test ,Medium,2,2022-10-10 10:10:00.000 +0800,2022-10-12 00:00:00.000 +0800,3,APT-IL-CNVY-CONVEY-CV0302-ASBLY,Conveyor Carry Belt CV302,Conveyor Belting,PM-CVBT,'{}',Belt,Broken,2,1,1,0.0,0.0,,0.0,,true,2,2022-09-16 07:10:22.199 +0800
10540,2022-08-24 06:21:22.000 +0800,2022-09-12 07:43:21.347 +0800,RCA 157 - OPF 1 Common Tails Line Holed ,OPF 1 Common Tails Line Holed ,Medium,1,2022-08-20 16:00:00.000 +0800,2022-10-10 00:00:00.000 +0800,5,CCK-P1-DSND-TAILNG-PP105A-PPVLV,Piping & Valves Pump 30PP05A,Piping,PM-PIPI,'{}',Hose,"Broken (Cracked,Leaking,Holed)",4851,1,1,8.0,44785.7,,16.0,,true,2,2022-09-12 07:43:21.347 +0800
10537,2022-06-12 05:25:25.000 +0800,2022-09-12 08:11:11.531 +0800,RCA-152 CV402 Gearflex Coupling Failure ,CV402 Gearflex Coupling Failure,Medium,1,2022-06-10 16:00:00.000 +0800,2022-10-10 00:00:00.000 +0800,5,CCK-SY-STKG-STK703-CV402 -DRIV1,Coupling Flexible LS Drive 1,Coupling,PM-COUP,'{}',Coupling,"Broken (Cracked,Leaking,Holed)",8358,1,1,11.8,15600.0,,,,,,
1285,2022-05-26 01:59:01.000 +0800,2022-09-12 08:21:06.633 +0800,OPF2 Desands Cyclone Overflow Blockage ,OPF2 Desands Cyclone Overflow Blockage,Medium,1,2022-05-20 16:00:00.000 +0800,2022-10-10 00:00:00.000 +0800,5,CCK-P2-DSND-DESND1-CY201 -ASBLY,Cyclone Cluster Desanding 1 30CY201,Cyclone,PMGENERAL,'{}',Whole Unit,Blockage,10165,1,1,13.4,44000.0,,,,,,
10535,2022-06-14 01:33:35.000 +0800,2022-08-15 01:32:08.000 +0800,TLO Schenck Outbound Track Scale Malfunction ; Historical Sharepoint Eliwana Id 61,,Medium,2,2022-06-09 16:00:00.000 +0800,,5,ELW-SY-TRLO-TLO900-WE902 -ASBLY,Weight Element TLO Weigh-Out WE902,Weight Transmitter,PM-WGHT,'{}',,,4314,1,3,7.6,0.0,2022-08-01 08:00:00.000 +0800,,,,,
10538,2022-06-25 23:46:47.000 +0800,2022-10-24 16:58:30.513 +0800,"15WS02 Hydraulic Motor Coupling Failure","​15WS02 Hydraulic Motor Drive C Coupling Failure
RCA-153 ",Medium,2,2022-06-24 16:00:00.000 +0800,2022-10-10 00:00:00.000 +0800,1,CCK-P1-WSCR-SCRUB2-HY102 -DRIV1,Motor Hydraulic 15WS02,Motor Hydraulic,PMGENERAL,'{}',Whole Unit,"Broken (Cracked,Leaking,Holed)",321,1,1,9.1,50893.7,,18.2,,,,
10539,2022-07-25 03:30:59.000 +0800,2022-07-25 03:30:59.000 +0800,OPF2 Major Shut down - over run Historical Sharepoint CC Id 154,,Medium,2,2022-05-28 16:00:00.000 +0800,,5,CCK-P1,Unknown,Unknown,PMGENERAL,'{}',,,12922,1,1,26.5,99375.0,2022-08-01 08:00:00.000 +0800,,,,,
10585,2022-09-20 09:22:48.048 +0800,2022-09-20 09:56:31.053 +0800,CV102 belt damage ,"Hard skirt adjuster bracket bolt failed at the CV123- CV102 transition area and caused the adjusted to rotate and come into contact with CV102 belt, damaging it",Medium,3,2022-09-14 07:59:00.000 +0800,2022-09-27 00:00:00.000 +0800,3,CLB-PP-CNVY-CNV001-CV102 -ASBLY,Belt Conveyor CV102,Conveyor Belting,PM-CVBT,"'{""PM-CONV"",""PM-CVBT"",""PM-FDR"",""PMGENERAL"",""PM-FILT""}'",Belt,Damaged,540,1,3,0.8,4947.2,2022-09-20 08:00:00.000 +0800,2.3,,false,,
766,2019-03-14 22:12:13.000 +0800,2019-04-18 06:56:35.000 +0800,SK802 Blocked tripper car discharge chute; Historical Sharepoint Solomon Id 262,,Medium,2,2019-03-13 16:00:00.000 +0800,,5,SOL-SY-STKG-STK802-TC801 -CH801,Chute Lower Head CV802 to SK802,Chute,PM-CHTS,'{}',,,14153,1,3,11.2,46500.0,2022-08-01 08:00:00.000 +0800,,,,,
850,2020-02-13 04:30:41.000 +0800,2020-04-01 02:48:39.000 +0800,RC901 PLC Failure; Historical Sharepoint Solomon Id 346,,Medium,2,2020-01-27 16:00:00.000 +0800,,5,SOL-SY-RCLM-RCL901-LFD01 -EICON,Devices Field LFD01,Electrical System,PM-ELESY,'{}',,,5268,1,3,9.0,80000.0,2022-08-01 08:00:00.000 +0800,,,,,
944,2021-05-17 22:33:36.000 +0800,2021-08-12 02:17:10.000 +0800,Crusher CR307 - Loss of Pressure to Counter Shaft; Historical Sharepoint Solomon Id 470,,Medium,1,2021-05-17 16:00:00.000 +0800,,5,SOL-KV-CRSH-CRUSH7-CRC307-DRIV1,Coupling Drive Shaft CRC307,Coupling,PM-COUP,'{}',,,14195,1,3,5.4,42157.0,2022-08-01 08:00:00.000 +0800,,,,,
738,2018-11-29 02:08:22.000 +0800,2018-11-29 02:08:22.000 +0800,SZ112 Under Speed Trips; Historical Sharepoint Solomon Id 234,,Medium,1,2018-11-21 16:00:00.000 +0800,,5,SOL-KV-RMIN-CRUSH1-SZ112 -DRIV1,Motor Electric Drive 1 SZ112,Electrical Motor,PM-MTRS,'{}',,,11111,1,3,2.0,9000.0,2022-08-01 08:00:00.000 +0800,,,,,
10593,2022-10-05 12:52:21.967 +0800,2022-10-05 13:10:45.644 +0800,TestTe,Test,High,1,2022-10-10 12:00:00.000 +0800,2022-10-19 00:00:00.000 +0800,2,APT-IL-CNVY-CONVEY-CV0302-ASBLY,Conveyor Carry Belt CV302,Conveyor Belting,PM-CVBT,'{}',Bearing,Blockage,2,1,1,0.0,0.0,,0.0,,true,2,2022-10-05 13:10:45.644 +0800
10591,2022-10-03 08:18:56.039 +0800,2022-10-05 13:50:49.662 +0800,RCA Test,Coolant leak repaired - TEST,Low,2,2022-09-15 11:42:34.000 +0800,2022-10-17 00:00:00.000 +0800,6,CCK-MP-DOZR-DZ183 -ENGINE-COSYS,Engine Cooling System,Cooling System,MP-COLSY,'{}',Whole Unit,Abrasive Wear,10405,2,1,0.0,0.0,,0.0,Abnormal Frequency,true,2,2022-10-05 13:50:49.662 +0800
10544,2022-06-23 03:04:53.000 +0800,2022-10-13 10:29:00.778 +0800,PU201 Discharge pipe spool failure; Sharepoint Id 579,Pump discharge pipe spool failed and done repair work due to unavailability of spare pipe spool.,Medium,3,2022-06-21 16:00:00.000 +0800,2022-11-10 00:00:00.000 +0800,5,SOL-KV-WSCR-SCRUB1-PU201 -ASBLY,Pump Underflow PU201,Pump,PM-PMP,'{}',Piping,Failed,4331,1,3,3.6,27843.0,2022-08-01 08:00:00.000 +0800,,,,,
10557,2022-08-24 04:16:13.000 +0800,2022-10-13 10:12:55.197 +0800,CV151 VSD Failure; Historical Sharepoint Solomon Id 592,CV151 VSD Failure,Medium,1,2022-08-21 16:00:00.000 +0800,2022-10-20 00:00:00.000 +0800,5,SOL-FT-RMIN-CRUSH1-CV151 -DRIV1,VSD Drive Motor CV151,Variable Speed Drive,PM-VSD,'{}',Cable,"Burnt (Fused,Melted)",1160,1,3,8.7,39123.0,2022-08-01 08:00:00.000 +0800,,,,,
1230,2021-07-01 05:28:56.000 +0800,2022-10-26 11:11:01.485 +0800,"30PP205A Geho Propelling Liquid Failure",RCA092 - 30PP205A Geho Propelling Liquid Failure due to priming / timing issue,Medium,2,2021-06-27 16:00:00.000 +0800,2022-10-31 00:00:00.000 +0800,5,CCK-P2-DSND-TAILNG-PP205A-ASBLY,Pump Assy Power End 30PP205A,Pump,PMGENERAL,'{}',Whole Unit,Other Reason (Explain),14144,1,1,0.3,1128.0,,,,,,
10543,2022-06-21 09:24:55.000 +0800,2022-07-27 08:57:48.000 +0800,CV902 Winch Pendant Failure; Historical Sharepoint Solomon Id 578,,Medium,1,2022-06-17 16:00:00.000 +0800,,5,SOL-SY-CNVY-CONVEY-CV902 -WHO01,Winch Take Up CV902,Winch,PM-CRNE,'{}',,,13217,1,3,2.6,31989.0,2022-08-01 08:00:00.000 +0800,,,,,
740,2018-12-06 23:13:28.000 +0800,2018-12-30 01:40:53.000 +0800,PU525 Cracked Drain Valve and Failed Dampener; Historical Sharepoint Solomon Id 236,,Medium,3,2018-12-04 16:00:00.000 +0800,,5,SOL-KV-DSND-THICK1-PU525 -VSL01,Pulsation Dampener PU525-VSL01-PD01,Damper,PM-ARVS,'{}',,,11150,1,3,4.5,30000.0,2022-08-01 08:00:00.000 +0800,,,,,
743,2018-12-08 01:25:17.000 +0800,2018-12-22 05:23:38.000 +0800,TL901 hydraulic line blow out; Historical Sharepoint Solomon Id 239,,Medium,1,2018-12-06 16:00:00.000 +0800,,5,SOL-SY-TRLO-TLO900-TL901 -HYD01,Power Pack Hydraulic TLO901,Hydraulic Power Pack,PM-PWPK,'{}',,,2686,1,3,2.0,0.0,2022-08-01 08:00:00.000 +0800,,,,,
344,2020-09-10 14:01:00.000 +0800,2020-09-10 14:06:53.000 +0800,EX003 RH170 RH Stick Cylinder premature failure SAP# 6000663 Serial # STK-0010; Historical BMS Id: RCA-0000346,EX003 RH170 RH stick cylinder has failed prematurely at 6648 hrs due to oil leak from head seals. As this has achieved less than 56% of expected life this RCA has been raised.,Medium,1,2020-09-04 14:04:00.000 +0800,2020-09-10 14:06:53.000 +0800,5,CLB-MP-EXCV-EX003 -HYDSYS-HDCYL-STCLR,Cylinder Stick RH,Hydraulic Cylinder,MP-HDCYL,'{}',,,14096,1,3,0.0,0.0,2020-09-10 14:06:53.000 +0800,,,,,
345,2020-07-10 11:21:00.000 +0800,2020-07-10 11:28:13.000 +0800,EX107 6060 LH bucket cylinder premature failure; Historical BMS Id: RCA-0000311,EX107 LH bucket cylinder failed prematurely due to leaks from the head seals. SAP# 6000660 serial# BKT-0014. The cylinder had run for 5852 hrs.,Medium,1,2020-07-10 11:22:00.000 +0800,2020-07-10 11:28:13.000 +0800,5,CLB-MP-EXCV-EX107 -HYDSYS-HDCYL-BUCYL,Cylinder Bucket LH Lift,Hydraulic Cylinder,MP-HDCYL,'{}',,,14096,1,3,0.0,0.0,2020-07-10 11:28:13.000 +0800,,,,,
346,2020-07-30 04:11:00.000 +0800,2020-07-30 04:21:47.000 +0800,EX013 6040 RH Bucket cylinder premature failure; Historical BMS Id: RCA-0000319,EX013 RH bucket cylinder failed prematurely due to leaks from the head seals. SAP# 6000664 serial# HMG new cylinder. The cylinder had run for 2543 hrs.,Medium,1,2020-07-14 04:16:00.000 +0800,2020-07-30 04:21:47.000 +0800,5,CLB-MP-EXCV-EX013 -HYDSYS-HDCYL-BUCYR,Cylinder Bucket RH Lift,Hydraulic Cylinder,MP-HDCYL,'{}',,,14096,1,3,0.0,0.0,2020-07-30 04:21:47.000 +0800,,,,,
347,2020-08-28 03:07:00.000 +0800,2020-08-28 03:12:32.000 +0800,EX002 LHF Travel Motor failure ; Historical BMS Id: RCA-0000331,EX002 LHF Travel motor failed immediately after installation due to a leak between the motor and brake housing. SAP# 6000130 serial# HCS-461. The motor had run for 0 hrs.,Medium,1,2020-08-06 03:10:00.000 +0800,2020-08-28 03:12:32.000 +0800,5,CLB-MP-EXCV-EX002 -HYDSYS-HDMOT-TRMLF,Hyd Motor Travel LH Front,Motor Hydraulic,MP-HDMTR,'{}',,,14096,1,3,0.0,0.0,2020-08-28 03:12:32.000 +0800,,,,,
10592,2022-10-04 11:31:41.719 +0800,2022-10-04 11:31:44.619 +0800,SN211 DE Exciter Premature Bearing Failure ,SZ211 Drive end bearing close to failure super intendant requested line be stopped until shut,Medium,2,2022-09-14 18:00:00.000 +0800,2022-11-01 00:00:00.000 +0800,1,ELW-P1-SSCR-MOD001-SN211 -DRV01,Exciter Drive End Screen SN211,Exciter,PM-EXTR,'{}',Bearing,Vibration/Noisy,3233,1,1,6.8,30401.2,,13.6,,false,,
10588,2022-10-01 06:55:47.440 +0800,2022-10-04 15:20:38.310 +0800,DT5213 Position 5 Wheel Stud Failure,"DT5213 went into breakdown having a deflated pos 5 tyre. Upon inspection it was identified that the pos 5 wheel had failed the wheel fasteners from the pos 4 final drive, damaging the valve extension and deflating the tyre in the process. Further, due to the resulting damage, the pos 4 final drive was scheduled for replacement at a SMU of 16,881 hrs on a 24,000 hr strategy

",Medium,2,2022-09-17 14:05:00.000 +0800,2022-11-30 08:00:00.000 +0800,6,SOL-MP-HAUL-DT5213-FDRSYS-WHTYR-POS05,Tyre & Rim Pos 5,Wheel,MP-WHEEL,'{}',Hardware,Broken,10405,2,3,0.0,0.0,2022-10-04 00:00:00.000 +0800,83.346667,Fracture,false,,
10586,2022-09-21 07:31:31.873 +0800,2022-09-23 07:36:08.554 +0800,SS903 Data Transfer Error,"Corrupt data resulted in SS903 tonnes to next cut not counting down, which caused missed cuts ",Medium,2,2022-08-29 19:48:10.000 +0800,2022-09-28 00:00:00.000 +0800,4,APT-OL-CNVY-SS903 -CS901 -EICON,Local Control Station & E Stops,Local Control Stn,PM-ELCO,'{}',PLC,Calibration Fault,12454,1,1,3.8,42161.2,,3.8,,true,2,2022-09-23 07:36:08.554 +0800
